Max Power,Location,Price,Drivetrain,Year,Seating Capacity,Owner,Fuel Tank Capacity,Transmission,Model,Height,Max Torque,Fuel Type,Color,Kilometer,Engine,Width,Length,Seller Type,Audi,BMW,Chevrolet,Datsun,Ferrari,Fiat,Ford,Honda,Hyundai,Isuzu,Jaguar,Jeep,Kia,Lamborghini,Land Rover,Lexus,MG,MINI,Mahindra,Maruti Suzuki,Maserati,Mercedes-Benz,Mitsubishi,Nissan,Porsche,Renault,Rolls-Royce,Skoda,Ssangyong,Tata,Toyota,Volkswagen,Volvo,Make,CNG,CNG + CNG,Diesel,Electric,Hybrid,LPG,Petrol,Petrol + CNG,Petrol + LPG,Automatic,Manual,4 or More,First,Fourth,Second,Third,UnRegistered Car,2.0,4.0,5.0,6.0,7.0,8.0
100 bhp @ 3600 rpm,Ahmedabad,1000000,RWD,2014,7.0,Second,55.0,Manual,Innova 2.5 ZX 7 STR BS-IV,1760.0,200 Nm @ 1400 rpm,Diesel,Silver,158690,2494 cc,1760.0,4585.0,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Toyota,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
100 bhp @ 3600 rpm,Bangalore,1290000,RWD,2014,7.0,Second,55.0,Manual,Innova 2.5 VX 7 STR BS-III,1760.0,200 Nm @ 1400 rpm,Diesel,Silver,85000,2494 cc,1760.0,4585.0,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Toyota,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
100 bhp @ 3600 rpm,Delhi,750000,RWD,2014,7.0,First,55.0,Manual,Innova 2.5 G 7 STR BS-IV,1760.0,200 Nm @ 1400 rpm,Diesel,Silver,126000,2494 cc,1760.0,4585.0,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Toyota,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
100 bhp @ 3750 rpm,Ahmedabad,630000,RWD,2015,7.0,Second,60.0,Manual,TUV300 T6 Plus,1839.0,240 Nm @ 1600 rpm,Diesel,White,115339,1493 cc,1835.0,3995.0,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mahindra,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
100 bhp @ 3750 rpm,Bhopal,850000,RWD,2019,7.0,First,60.0,Manual,TUV300 T6 Plus,1839.0,240 Nm @ 1600 rpm,Diesel,White,85641,1493 cc,1835.0,3995.0,Commercial Registration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mahindra,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
100 bhp @ 3750 rpm,Delhi,615000,RWD,2017,7.0,First,60.0,Automatic,TUV300 T8 AMT mHAWK100,1839.0,240 Nm @ 1600 rpm,Diesel,Black,69000,1493 cc,1835.0,3995.0,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mahindra,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
100 bhp @ 3750 rpm,Hyderabad,944999,RWD,2019,7.0,First,60.0,Manual,TUV300 T10,1817.0,240 Nm @ 1600 rpm,Diesel,White,88000,1493 cc,1795.0,3995.0,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mahindra,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
100 bhp @ 3750 rpm,Kolkata,240000,RWD,2013,7.0,Second,55.0,Manual,Quanto C8,1880.0,240 Nm @ 1600 rpm,Diesel,Maroon,51500,1493 cc,1850.0,3985.0,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mahindra,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
100 bhp @ 3750 rpm,Kolkata,249000,RWD,2013,7.0,First,55.0,Manual,Quanto C4,1880.0,240 Nm @ 1600 rpm,Diesel,Red,60000,1493 cc,1850.0,3985.0,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mahindra,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
100 bhp @ 3750 rpm,Mumbai,785000,RWD,2017,7.0,First,60.0,Manual,TUV300 T10,1839.0,240 Nm @ 1600 rpm,Diesel,White,44000,1493 cc,1835.0,3995.0,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mahindra,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
