Make,Model,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Max Power,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,dummy_cat
Honda,Amaze 1.2 VX i-VTEC,-0.4951825725713288,0.17085757736260918,0.5741334672310862,Petrol,Manual,Pune,Grey,First,Corporate,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,-0.668002395277177,-0.6610291328230548,-0.6477190383353187,-0.3659769349560106,-1.1577201400333714,1
Maruti Suzuki,Swift DZire VDI,-0.5179164876493917,-0.7212702800919405,0.3622682850489242,Diesel,Manual,Ludhiana,White,Second,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,-0.6565191920398916,-0.548343442627264,-0.2743308376964503,-0.3659769349560106,-0.6810738015931533,1
Hyundai,i10 Magna 1.2 Kappa2,-0.6129855870667454,-1.61339813754649,0.222768576616225,Petrol,Manual,Lucknow,Maroon,First,Individual,1197 cc,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD,-1.59814185749729,-1.2995813772658689,-0.3116696577603371,-0.3659769349560106,-1.1577201400333714,1
Toyota,Glanza G,-0.3736594628813202,0.765609482332309,-0.2916365982293533,Petrol,Manual,Mangalore,Red,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,-0.6565191920398916,-0.17272447530796162,-0.610380218271432,-0.3659769349560106,-1.0215354719075949,1
Toyota,Innova 2.4 VX 7 STR [2016-2020],0.10209937811595868,0.4682335298474591,0.2576435037243998,Diesel,Manual,Mumbai,Grey,First,Individual,2393 cc,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,RWD,1.0429948870783396,0.4658277691348525,1.5179325253701186,2.100623749411996,0.20412654122439455,1
Maruti Suzuki,Ciaz ZXi,-0.4249141077845891,0.17085757736260918,0.33288615896028695,Petrol,Manual,Pune,Grey,First,Individual,1373 cc,91 bhp @ 6000 rpm,130 Nm @ 4000 rpm,FWD,0.48031792845135773,-0.2854101655037523,-0.7970743185908662,-0.3659769349560106,-0.6129814675302651,1
Mercedes-Benz,CLA 200 Petrol Sport,0.08101842533602625,-0.4238943276070906,-0.12598069446552299,Petrol,Automatic,Mumbai,White,Second,Individual,1991 cc,181 bhp @ 5500 rpm,300 Nm @ 1200 rpm,FWD,0.8018476190953474,0.06767166377639194,-1.1928658112680668,-0.3659769349560106,4.838251332933531e-16,1
BMW,X1 xDrive20d M Sport,0.3914401154731222,0.17085757736260918,0.3622682850489242,Diesel,Automatic,Coimbatore,White,Second,Individual,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,AWD,0.3631892554310472,0.39821635501737807,0.15133171103185983,-0.3659769349560106,-0.06824279502715863,1
Skoda,Octavia 1.8 TSI Style Plus AT [2017],-0.12937321176977212,0.17085757736260918,0.030956477521263612,Petrol,Automatic,Mumbai,White,First,Individual,1798 cc,177 bhp @ 5100 rpm,250 Nm @ 1250 rpm,FWD,0.8937132449936303,0.34562969959267575,-0.8642841947058625,-0.3659769349560106,-0.13633512909004694,1
Nissan,Terrano XL (D),-0.4662484988356125,-0.4238943276070906,0.5366429205897982,Diesel,Manual,Mumbai,White,First,Individual,1461 cc,84 bhp @ 3750 rpm,200 Nm @ 1900 rpm,FWD,0.11515206550568369,0.4057287343637641,0.5919297877857247,-0.3659769349560106,-0.13633512909004694,1
Hyundai,Elite i20 Sportz 1.2,-0.45963499626744875,0.17085757736260918,-0.5918922831671842,Petrol,Manual,Mumbai,Red,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,-0.6794855985144623,-0.25536064811820813,-0.6477190383353187,-0.3659769349560106,-0.47679679940448844,1
Renault,Kwid 1.0 RXT [2016-2019],-0.5137834618881999,0.4682335298474591,-0.5524836155349467,Petrol,Manual,Bangalore,Grey,First,Individual,999 cc,67 bhp @ 5500 rpm,91 Nm @ 4250 rpm,FWD,-1.3822576366363255,-1.4197794468080456,-0.8493486666803077,-0.3659769349560106,-1.6343664784735894,1
Maruti Suzuki,Ciaz Alpha Hybrid 1.5 AT [2018-2020],-0.2595765435804957,0.765609482332309,-0.41069959937666206,Petrol,Automatic,Bangalore,Blue,First,Individual,1462 cc,103 bhp @ 6000 rpm,138 Nm @ 4400 rpm,FWD,0.48031792845135773,-0.2854101655037523,-0.7970743185908662,-0.3659769349560106,-0.6129814675302651,1
Tata,Harrier XZ [2019-2020],-0.0033033190641508846,0.765609482332309,-0.581865741623584,Diesel,Manual,Bangalore,Orange,First,Individual,1956 cc,138 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD,0.7283551183767212,0.9466200473035596,0.8533015282329326,-0.3659769349560106,-0.13633512909004694,1
Volkswagen,Polo GT TSI,-0.31331166529073656,0.17085757736260918,-0.22333405348799296,Petrol,Automatic,Bangalore,Grey,First,Individual,1197 cc,103 bhp @ 5000 rpm,175 Nm @ 1500 rpm,FWD,-0.7116385675788613,-0.6460043741302827,-0.9165585427953041,-0.3659769349560106,-0.47679679940448844,1
Maruti Suzuki,Celerio ZXi AMT [2019-2020],-0.4687285622986739,-0.1265183751222407,-0.7455163370786942,Petrol,Automatic,Bangalore,Red,First,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,-1.3455113862770125,-1.2620194805339386,-0.23699201763256342,-0.3659769349560106,-1.1577201400333714,1
Maruti Suzuki,Alto 800 LXi (O),-0.5183298315599019,0.765609482332309,-0.8830630495933357,Petrol,Manual,Bangalore,Grey,First,Individual,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,-1.9196715481412798,-1.9005717249767526,-0.8717519587186399,-0.3659769349560106,-1.1577201400333714,1
Maruti Suzuki,Baleno Alpha Automatic,-0.3339788608162482,0.4682335298474591,-0.5729900726745535,Petrol,Automatic,Bangalore,Grey,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,-0.6565191920398916,-0.17272447530796162,-0.610380218271432,-0.3659769349560106,-1.0215354719075949,1
Maruti Suzuki,Wagon R ZXi 1.2 AMT,-0.4149938539323435,1.0629854348171588,-0.4088686657034829,Petrol,Automatic,Bangalore,White,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,-1.4373770121752953,-1.1117718936062178,0.6218008438368341,-0.3659769349560106,-1.3619971422220363,1
Hyundai,Creta 1.6 E Petrol,-0.39804675360142394,-0.1265183751222407,0.10288601468187414,Petrol,Manual,Delhi,Silver,First,Individual,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD,-0.02494301398919755,0.09020880181555009,0.28575146326185247,-0.3659769349560106,0.5445882115388361,1
