Owner,Width,Year,Seller Type,Location,Max Torque,Drivetrain,Fuel Type,Kilometer,Length,Fuel Tank Capacity,Height,Color,Seating Capacity,Engine,Price,Transmission,Model,Max Power,Audi,BMW,Chevrolet,Datsun,Ferrari,Fiat,Ford,Honda,Hyundai,Isuzu,Jaguar,Jeep,Kia,Land Rover,Lexus,MG,MINI,Mahindra,Maruti Suzuki,Maserati,Mercedes-Benz,Mitsubishi,Nissan,Porsche,Renault,Rolls-Royce,Skoda,Ssangyong,Tata,Toyota,Volkswagen,Volvo,Make,CNG,CNG + CNG,Diesel,Hybrid,LPG,Petrol,Petrol + CNG,Automatic,Manual,First,Second,Third,UnRegistered Car,2.0,4.0,5.0,6.0,7.0,8.0
First,1475.0,2009,Individual,Nashik,77@4500,FWD,LPG,102000,3520.0,35.0,1660.0,White,5.0,1061 cc,195000,Manual,Wagon R Duo LXi LPG,58@6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Maruti Suzuki,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
First,1475.0,2009,Individual,Ranchi,84@3500,FWD,Petrol,39586,3520.0,35.0,1690.0,Red,5.0,1061 cc,145000,Manual,Wagon R LXi Minor,67@6200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Maruti Suzuki,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
First,1475.0,2010,Individual,Bhopal,90 Nm @ 3500 rpm,FWD,Petrol,62000,3600.0,35.0,1595.0,Brown,5.0,998 cc,220000,Manual,Estilo LXi BS-IV,67 bhp @ 6200 rpm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Maruti Suzuki,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
First,1475.0,2011,Individual,Hyderabad,90 Nm @ 3500 rpm,FWD,Petrol,69276,3620.0,35.0,1460.0,Gold,5.0,998 cc,280000,Manual,Alto LXi,67 bhp @ 6200 rpm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Maruti Suzuki,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
First,1475.0,2012,Individual,Bangalore,90 Nm @ 3500 rpm,FWD,Petrol,54000,3620.0,35.0,1460.0,Bronze,5.0,998 cc,260000,Manual,Alto VXi,67 bhp @ 6200 rpm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Maruti Suzuki,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
First,1475.0,2012,Individual,Kolkata,90 Nm @ 3500 rpm,FWD,Petrol,37000,3620.0,35.0,1460.0,Red,5.0,998 cc,185000,Manual,Alto VXi,67 bhp @ 6200 rpm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Maruti Suzuki,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
First,1475.0,2013,Individual,Panchkula,90 Nm @ 3500 rpm,FWD,Petrol,72600,3620.0,35.0,1460.0,White,5.0,998 cc,234000,Manual,Alto VXi,67 bhp @ 6200 rpm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Maruti Suzuki,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
First,1475.0,2013,Individual,Varanasi,90 Nm @ 3500 rpm,FWD,Petrol,46000,3636.0,35.0,1670.0,White,5.0,998 cc,299000,Manual,Wagon R VXI+,67 bhp @ 6200 rpm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Maruti Suzuki,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
First,1475.0,2014,Individual,Jamshedpur,90 Nm @ 3500 rpm,FWD,Petrol,54420,3620.0,35.0,1460.0,Silver,5.0,998 cc,270000,Manual,Alto VXi,67 bhp @ 6200 rpm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Maruti Suzuki,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
First,1475.0,2014,Individual,Mohali,90 Nm @ 3500 rpm,FWD,Petrol,54000,3620.0,35.0,1460.0,White,5.0,998 cc,320000,Manual,Alto VXi,67 bhp @ 6200 rpm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Maruti Suzuki,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
