Max Power,Location,Price,Drivetrain,Year,Seating Capacity,Owner,Fuel Tank Capacity,Transmission,Model,Height,Max Torque,Fuel Type,Color,Kilometer,Engine,Width,Length,Seller Type,Audi,BMW,Chevrolet,Datsun,Ferrari,Fiat,Ford,Honda,Hyundai,Isuzu,Jaguar,Jeep,Kia,Land Rover,Lexus,MG,MINI,Mahindra,Maruti Suzuki,Maserati,Mercedes-Benz,Mitsubishi,Nissan,Porsche,Renault,Rolls-Royce,Skoda,Ssangyong,Tata,Toyota,Volkswagen,Volvo,Make,CNG,CNG + CNG,Diesel,Hybrid,LPG,Petrol,Petrol + CNG,Automatic,Manual,First,Second,Third,UnRegistered Car,2.0,4.0,5.0,6.0,7.0,8.0
100 bhp @ 3600 rpm,Ahmedabad,0.0272095219020915,RWD,0.7647058823529411,0.8333333333333334,Second,0.4444444444444444,Manual,Innova 2.5 ZX 7 STR BS-IV,0.6994884910485933,200 Nm @ 1400 rpm,Diesel,Silver,0.079345,2494 cc,0.3825503355704698,0.6016194331983805,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Toyota,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
100 bhp @ 3600 rpm,Bangalore,0.03550685245057366,RWD,0.7647058823529411,0.8333333333333334,Second,0.4444444444444444,Manual,Innova 2.5 VX 7 STR BS-III,0.6994884910485933,200 Nm @ 1400 rpm,Diesel,Silver,0.0425,2494 cc,0.3825503355704698,0.6016194331983805,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Toyota,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
100 bhp @ 3600 rpm,Delhi,0.020056650739606878,RWD,0.7647058823529411,0.8333333333333334,First,0.4444444444444444,Manual,Innova 2.5 G 7 STR BS-IV,0.6994884910485933,200 Nm @ 1400 rpm,Diesel,Silver,0.063,2494 cc,0.3825503355704698,0.6016194331983805,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Toyota,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
100 bhp @ 3750 rpm,Ahmedabad,0.01662327258161426,RWD,0.7941176470588235,0.8333333333333334,Second,0.5,Manual,TUV300 T6 Plus,0.8005115089514067,240 Nm @ 1600 rpm,Diesel,White,0.0576695,1493 cc,0.48322147651006714,0.362753036437247,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mahindra,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
100 bhp @ 3750 rpm,Bhopal,0.022917799204600728,RWD,0.9117647058823529,0.8333333333333334,First,0.5,Manual,TUV300 T6 Plus,0.8005115089514067,240 Nm @ 1600 rpm,Diesel,White,0.0428205,1493 cc,0.48322147651006714,0.362753036437247,Commercial Registration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mahindra,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
100 bhp @ 3750 rpm,Delhi,0.016194100311865182,RWD,0.8529411764705882,0.8333333333333334,First,0.5,Automatic,TUV300 T8 AMT mHAWK100,0.8005115089514067,240 Nm @ 1600 rpm,Diesel,Black,0.0345,1493 cc,0.48322147651006714,0.362753036437247,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mahindra,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
100 bhp @ 3750 rpm,Hyderabad,0.025635861634860233,RWD,0.9117647058823529,0.8333333333333334,First,0.5,Manual,TUV300 T10,0.7723785166240409,240 Nm @ 1600 rpm,Diesel,White,0.044,1493 cc,0.42953020134228187,0.362753036437247,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mahindra,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
100 bhp @ 3750 rpm,Kolkata,0.005464793568138251,RWD,0.7352941176470589,0.8333333333333334,Second,0.4444444444444444,Manual,Quanto C8,0.8529411764705882,240 Nm @ 1600 rpm,Diesel,Maroon,0.02575,1493 cc,0.5033557046979866,0.35870445344129553,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mahindra,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
100 bhp @ 3750 rpm,Kolkata,0.005722296929987697,RWD,0.7352941176470589,0.8333333333333334,First,0.4444444444444444,Manual,Quanto C4,0.8529411764705882,240 Nm @ 1600 rpm,Diesel,Red,0.03,1493 cc,0.5033557046979866,0.35870445344129553,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mahindra,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
100 bhp @ 3750 rpm,Mumbai,0.021058052702354724,RWD,0.8529411764705882,0.8333333333333334,First,0.5,Manual,TUV300 T10,0.8005115089514067,240 Nm @ 1600 rpm,Diesel,White,0.022,1493 cc,0.48322147651006714,0.362753036437247,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mahindra,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
101 bhp @ 3600 rpm,Delhi,0.023346971474349804,RWD,0.7941176470588235,0.8333333333333334,First,0.4444444444444444,Manual,Innova 2.5 GX BS IV 7 STR,0.6994884910485933,200 Nm @ 1200 rpm,Diesel,Silver,0.021817,2494 cc,0.38926174496644295,0.6016194331983805,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Toyota,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
101 bhp @ 3600 rpm,Mumbai,0.024319761952447713,RWD,0.7941176470588235,1.0,Third,0.4444444444444444,Manual,Innova 2.5 GX BS IV 8 STR,0.6994884910485933,200 Nm @ 1200 rpm,Diesel,Silver,0.0625,2494 cc,0.38926174496644295,0.6016194331983805,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Toyota,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
