Max Power,Location,Price,Drivetrain,Year,Seating Capacity,Owner,Fuel Tank Capacity,Transmission,Model,Height,Max Torque,Fuel Type,Color,Kilometer,Engine,Width,Length,Seller Type,Audi,BMW,Chevrolet,Datsun,Ferrari,Fiat,Ford,Honda,Hyundai,Isuzu,Jaguar,Jeep,Kia,Land Rover,Lexus,MG,MINI,Mahindra,Maruti Suzuki,Maserati,Mercedes-Benz,Mitsubishi,Nissan,Porsche,Renault,Rolls-Royce,Skoda,Ssangyong,Tata,Toyota,Volkswagen,Volvo,Make,CNG,CNG + CNG,Diesel,Hybrid,LPG,Petrol,Petrol + CNG,Automatic,Manual,First,Second,Third,UnRegistered Car,2.0,4.0,5.0,6.0,7.0,8.0
100 bhp @ 3600 rpm,Ahmedabad,-0.29614344602929016,RWD,-0.864805260727879,2.113192759065235,Second,0.18351383600784246,Manual,Innova 2.5 ZX 7 STR BS-IV,1.2707468104977937,200 Nm @ 1400 rpm,Diesel,Silver,1.7952546830336469,2494 cc,-0.06005901558661461,0.6959049988875242,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Toyota,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
100 bhp @ 3600 rpm,Bangalore,-0.17657765760149927,RWD,-0.864805260727879,2.113192759065235,Second,0.18351383600784246,Manual,Innova 2.5 VX 7 STR BS-III,1.2707468104977937,200 Nm @ 1400 rpm,Diesel,Silver,0.5414400184841965,2494 cc,-0.06005901558661461,0.6959049988875242,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Toyota,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
100 bhp @ 3600 rpm,Delhi,-0.3992174015704892,RWD,-0.864805260727879,2.113192759065235,First,0.18351383600784246,Manual,Innova 2.5 G 7 STR BS-IV,1.2707468104977937,200 Nm @ 1400 rpm,Diesel,Silver,1.239043509412782,2494 cc,-0.06005901558661461,0.6959049988875242,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Toyota,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
100 bhp @ 3750 rpm,Ahmedabad,-0.4486929002302647,RWD,-0.5460943347487199,2.113192759065235,Second,0.513259486456283,Manual,TUV300 T6 Plus,1.8577070752817235,240 Nm @ 1600 rpm,Diesel,White,1.0576495870520588,1493 cc,0.5111091717534446,-0.656982235184547,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mahindra,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
100 bhp @ 3750 rpm,Bhopal,-0.3579878193540096,RWD,0.728749369167916,2.113192759065235,First,0.513259486456283,Manual,TUV300 T6 Plus,1.8577070752817235,240 Nm @ 1600 rpm,Diesel,White,0.5523464535496898,1493 cc,0.5111091717534446,-0.656982235184547,Commercial Registration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mahindra,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
100 bhp @ 3750 rpm,Delhi,-0.45487733756273663,RWD,0.09132751720959799,2.113192759065235,First,0.513259486456283,Automatic,TUV300 T8 AMT mHAWK100,1.8577070752817235,240 Nm @ 1600 rpm,Diesel,Black,0.2692045098291388,1493 cc,0.5111091717534446,-0.656982235184547,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mahindra,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
100 bhp @ 3750 rpm,Hyderabad,-0.3188201285441761,RWD,0.728749369167916,2.113192759065235,First,0.513259486456283,Manual,TUV300 T10,1.6942497863545531,240 Nm @ 1600 rpm,Diesel,White,0.5924841763570199,1493 cc,0.206486138505413,-0.656982235184547,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mahindra,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
100 bhp @ 3750 rpm,Kolkata,-0.6094882708745352,RWD,-1.183516186707038,2.113192759065235,Second,0.18351383600784246,Manual,Quanto C8,2.1623320228278136,240 Nm @ 1600 rpm,Diesel,Maroon,-0.0285530777623306,1493 cc,0.6253428092214565,-0.6799125272874635,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mahindra,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
100 bhp @ 3750 rpm,Kolkata,-0.605777608475052,RWD,-1.183516186707038,2.113192759065235,First,0.18351383600784246,Manual,Quanto C4,2.1623320228278136,240 Nm @ 1600 rpm,Diesel,Red,0.11607203621066882,1493 cc,0.6253428092214565,-0.6799125272874635,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mahindra,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
100 bhp @ 3750 rpm,Mumbai,-0.3847870477947213,RWD,0.09132751720959799,2.113192759065235,First,0.513259486456283,Manual,TUV300 T10,1.8577070752817235,240 Nm @ 1600 rpm,Diesel,White,-0.1561634724443889,1493 cc,0.5111091717534446,-0.656982235184547,Individual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mahindra,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
