Make,Model,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Max Power,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,dummy_cat
Honda,Amaze 1.2 VX i-VTEC,0.01304683700037195,0.8529411764705882,0.043575,Petrol,Manual,Pune,Grey,First,Corporate,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,0.36072874493927126,0.2751677852348993,0.3734015345268542,0.5,0.2222222222222222,1
Maruti Suzuki,Swift DZire VDI,0.011473205344625332,0.7647058823529411,0.0375,Diesel,Manual,Ludhiana,White,Second,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,0.362753036437247,0.2953020134228188,0.4373401534526854,0.5,0.3,1
Hyundai,i10 Magna 1.2 Kappa2,0.004892563875139481,0.6764705882352942,0.0335,Petrol,Manual,Lucknow,Maroon,First,Individual,1197 cc,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD,0.19676113360323888,0.1610738255033557,0.4309462915601023,0.5,0.2222222222222222,1
Toyota,Glanza G,0.021458613487453863,0.9117647058823529,0.01875,Petrol,Manual,Mangalore,Red,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,0.362753036437247,0.3624161073825503,0.3797953964194373,0.5,0.24444444444444444,1
Toyota,Innova 2.4 VX 7 STR [2016-2020],0.05439043231953306,0.8823529411764706,0.0345,Diesel,Manual,Mumbai,Grey,First,Individual,2393 cc,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,RWD,0.6623481781376518,0.47651006711409394,0.7442455242966752,0.8333333333333334,0.4444444444444444,1
Maruti Suzuki,Ciaz ZXi,0.017910789390861492,0.8529411764705882,0.0366575,Petrol,Manual,Pune,Grey,First,Individual,1373 cc,91 bhp @ 6000 rpm,130 Nm @ 4000 rpm,FWD,0.5631578947368421,0.3422818791946309,0.34782608695652173,0.5,0.3111111111111111,1
BMW,X1 xDrive20d M Sport,0.07441847157449,0.8529411764705882,0.0375,Diesel,Automatic,Coimbatore,White,Second,Individual,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,AWD,0.5425101214574899,0.46442953020134226,0.510230179028133,0.5,0.4,1
Skoda,Octavia 1.8 TSI Style Plus AT [2017],0.03836800091556751,0.8529411764705882,0.028,Petrol,Automatic,Mumbai,White,First,Individual,1798 cc,177 bhp @ 5100 rpm,250 Nm @ 1250 rpm,FWD,0.6360323886639676,0.45503355704697984,0.33631713554987214,0.5,0.3888888888888889,1
Nissan,Terrano XL (D),0.015049640925867643,0.7941176470588235,0.0425,Diesel,Manual,Mumbai,White,First,Individual,1461 cc,84 bhp @ 3750 rpm,200 Nm @ 1900 rpm,FWD,0.4987854251012146,0.4657718120805369,0.5856777493606138,0.5,0.3888888888888889,1
Hyundai,Elite i20 Sportz 1.2,0.01550742468026666,0.8529411764705882,0.0101405,Petrol,Manual,Mumbai,Red,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,0.35870445344129553,0.3476510067114094,0.3734015345268542,0.5,0.3333333333333333,1
Renault,Kwid 1.0 RXT [2016-2019],0.011759291579640067,0.8823529411764706,0.0112705,Petrol,Manual,Bangalore,Grey,First,Individual,999 cc,67 bhp @ 5500 rpm,91 Nm @ 4250 rpm,FWD,0.23481781376518218,0.1395973154362416,0.3388746803069054,0.5,0.14444444444444443,1
Maruti Suzuki,Ciaz Alpha Hybrid 1.5 AT [2018-2020],0.029355383250836885,0.9117647058823529,0.015336,Petrol,Automatic,Bangalore,Blue,First,Individual,1462 cc,103 bhp @ 6000 rpm,138 Nm @ 4400 rpm,FWD,0.5631578947368421,0.3422818791946309,0.34782608695652173,0.5,0.3111111111111111,1
Tata,Harrier XZ [2019-2020],0.04709450373379875,0.9117647058823529,0.010428,Diesel,Manual,Bangalore,Orange,First,Individual,1956 cc,138 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD,0.6068825910931174,0.5624161073825503,0.6304347826086957,0.5,0.3888888888888889,1
Volkswagen,Polo GT TSI,0.025635861634860233,0.8529411764705882,0.0207085,Petrol,Automatic,Bangalore,Grey,First,Individual,1197 cc,103 bhp @ 5000 rpm,175 Nm @ 1500 rpm,FWD,0.35303643724696354,0.2778523489932886,0.3273657289002558,0.5,0.3333333333333333,1
Maruti Suzuki,Celerio ZXi AMT [2019-2020],0.014877972017968012,0.8235294117647058,0.0057355,Petrol,Automatic,Bangalore,Red,First,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,0.24129554655870444,0.16778523489932887,0.4437340153452685,0.5,0.2222222222222222,1
Maruti Suzuki,Alto 800 LXi (O),0.011444593859975394,0.9117647058823529,0.0017915,Petrol,Manual,Bangalore,Grey,First,Individual,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,0.14008097165991903,0.053691275167785234,0.3350383631713555,0.5,0.2222222222222222,1
Maruti Suzuki,Baleno Alpha Automatic,0.02420528740236331,0.8823529411764706,0.0106825,Petrol,Automatic,Bangalore,Grey,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,0.362753036437247,0.3624161073825503,0.3797953964194373,0.5,0.24444444444444444,1
Maruti Suzuki,Wagon R ZXi 1.2 AMT,0.018597465022460017,0.9411764705882353,0.0153885,Petrol,Automatic,Bangalore,White,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,0.2251012145748988,0.19463087248322147,0.5907928388746803,0.5,0.18888888888888888,1
Hyundai,Creta 1.6 E Petrol,0.019770535893107493,0.8235294117647058,0.0300625,Petrol,Manual,Delhi,Silver,First,Individual,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD,0.47408906882591095,0.40939597315436244,0.5332480818414322,0.5,0.5,1
Maruti Suzuki,S-Presso VXi AMT,0.012045435037624102,0.9411764705882353,0.0010845,Petrol,Automatic,Mumbai,Grey,First,Individual,998 cc,67 bhp @ 5500 rpm,90 Nm @ 3500 rpm,FWD,0.18866396761133603,0.06040268456375839,0.44884910485933505,0.5,0.13333333333333333,1
