Make,Model,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Max Power,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,dummy_cat
Honda,Amaze 1.2 VX i-VTEC,-0.5002298780008643,0.09132751720959799,0.57802166495972,Petrol,Manual,Pune,Grey,First,Corporate,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,-0.6684473812360052,-0.6693050820826778,-0.6238717657034988,-0.3657576199571435,-1.13546876578592,1
Maruti Suzuki,Swift DZire VDI,-0.5229061482199281,-0.864805260727879,0.37129282557478543,Diesel,Manual,Ludhiana,White,Second,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,-0.656982235184547,-0.555071444614666,-0.2523779272326571,-0.3657576199571435,-0.673824855158103,1
Hyundai,i10 Magna 1.2 Kappa2,-0.6177341873178313,-1.820938038665356,0.2351750712472566,Petrol,Manual,Lucknow,Maroon,First,Individual,1197 cc,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD,-1.597124211404122,-1.3166290277347448,-0.2895273110797413,-0.3657576199571435,-1.13546876578592,1
Toyota,Glanza G,-0.37901490628441425,0.728749369167916,-0.26675914783550614,Petrol,Manual,Mangalore,Red,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,-0.656982235184547,-0.17429265305462646,-0.5867223818564146,-0.3657576199571435,-1.0035705056065436,1
Toyota,Innova 2.4 VX 7 STR [2016-2020],0.09553758502726621,0.410038443188757,0.2692045098291388,Diesel,Manual,Mumbai,Grey,First,Individual,2393 cc,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,RWD,1.039859380431271,0.47303129259744064,1.5307924974273828,2.113192759065235,0.18351383600784246,1
Maruti Suzuki,Ciaz ZXi,-0.430139588232849,0.09132751720959799,0.34262302356954966,Petrol,Manual,Pune,Grey,First,Individual,1373 cc,91 bhp @ 6000 rpm,130 Nm @ 4000 rpm,FWD,0.4780672239098178,-0.2885262905226383,-0.7724693010918354,-0.3657576199571435,-0.6078757250684149,1
BMW,X1 xDrive20d M Sport,0.3841446605426236,0.09132751720959799,0.37129282557478543,Diesel,Automatic,Coimbatore,White,Second,Individual,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,AWD,0.36112273418494384,0.4044911101166335,0.17112504862410238,-0.3657576199571435,-0.08028268435091,1
Skoda,Octavia 1.8 TSI Style Plus AT [2017],-0.13534807538501967,0.09132751720959799,0.04801315904690439,Petrol,Automatic,Mumbai,White,First,Individual,1798 cc,177 bhp @ 5100 rpm,250 Nm @ 1250 rpm,FWD,0.8908124817623141,0.35118207929822803,-0.8393381920165869,-0.3657576199571435,-0.1462318144405981,1
Nissan,Terrano XL (D),-0.4713691704493286,-0.5460943347487199,0.5414400184841965,Diesel,Manual,Mumbai,White,First,Individual,1461 cc,84 bhp @ 3750 rpm,200 Nm @ 1900 rpm,FWD,0.11347557947344607,0.41210668594783434,0.6094877780196956,-0.3657576199571435,-0.1462318144405981,1
Hyundai,Elite i20 Sportz 1.2,-0.46477243729469186,0.09132751720959799,-0.5597355993062211,Petrol,Manual,Mumbai,Red,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,-0.6799125272874635,-0.25806398719783513,-0.6238717657034988,-0.3657576199571435,-0.4759774648890387,1
